Track_ID,Window_Index,X_Coord,Y_Coord,Velocity_X,Velocity_Y
303,14,21.0,326.0,-2.7640042304992676,-0.21602460741996765
303,15,27.0,337.0,-3.4225001335144043,-0.051113128662109375
303,16,29.0,344.0,-3.40464186668396,0.15789224207401276
303,17,25.0,346.0,-3.609551429748535,0.09934911131858826
303,18,22.0,346.0,-3.80955171585083,0.11231087893247604
303,19,10.0,337.0,-3.5295140743255615,0.14283213019371033
303,20,7.0,342.0,-3.915842056274414,0.110745370388031
303,21,3.0,344.0,-3.6708695888519287,0.11572287231683731
303,22,1.0,345.0,-3.996445655822754,0.0832655131816864
303,23,0.0,344.0,-3.5725932121276855,-0.027583297342061996
303,24,0.0,344.0,-3.687382221221924,0.0406109094619751
303,25,0.0,343.0,-3.909911632537842,0.05062714219093323
303,26,0.0,342.0,-3.576793670654297,0.09719567000865936
303,27,0.0,342.0,-3.5570781230926514,0.11994140595197678
303,28,0.0,342.0,-3.620481252670288,0.10265282541513443
303,29,0.0,342.0,-3.2039637565612793,0.12579527497291565
306,0,384.0,389.0,-0.17050853371620178,0.00043892860412597656
306,1,383.0,389.0,-0.10656324774026871,-0.008293841034173965
306,2,383.0,389.0,-0.18768250942230225,0.011493921279907227
306,3,383.0,389.0,-0.13309304416179657,0.049399588257074356
306,4,383.0,388.0,-0.17535847425460815,0.021365642547607422
306,5,382.0,388.0,-0.21114599704742432,0.015605688095092773
306,6,382.0,388.0,-0.1842205822467804,0.008616311475634575
306,7,382.0,388.0,-0.2350301742553711,-0.008500644005835056
306,8,382.0,388.0,-0.30933231115341187,0.08841909468173981
306,9,382.0,388.0,-0.2133767306804657,0.008898599073290825
306,10,383.0,389.0,-0.22455930709838867,0.4120233654975891
306,11,381.0,388.0,-0.199823260307312,-0.38876819610595703
306,12,381.0,387.0,-0.08323897421360016,-0.23593276739120483
306,13,382.0,388.0,-0.4385826885700226,0.5709310173988342
306,14,382.0,388.0,-0.17420713603496552,-0.1836230456829071
306,15,380.0,387.0,-0.13892799615859985,-0.16869290173053741
306,16,379.0,387.0,-0.18042904138565063,0.09127172082662582
306,17,379.0,387.0,-0.24289533495903015,0.07674874365329742
306,18,378.0,387.0,-0.15674248337745667,0.009468468837440014
306,19,378.0,387.0,-0.21423903107643127,0.007040500640869141
306,20,379.0,387.0,-0.21741104125976562,0.05057020112872124
306,21,378.0,387.0,-0.15772190690040588,-0.0060847457498312
306,22,378.0,387.0,-0.1853928565979004,0.010757142677903175
306,23,378.0,387.0,-0.1484719216823578,0.021232301369309425
306,24,377.0,387.0,-0.19543036818504333,0.028896475210785866
306,25,377.0,386.0,-0.18701335787773132,-0.021371735259890556
306,26,377.0,387.0,-0.12946811318397522,0.037186622619628906
306,27,377.0,387.0,-0.14215555787086487,0.05226140096783638
306,28,376.0,387.0,-0.2042241096496582,0.015442544594407082
306,29,375.0,386.0,-0.22228951752185822,0.020282529294490814
310,0,36.0,397.0,-3.4332275390625e-05,0.00022077560424804688
310,1,35.0,395.0,-0.014516830444335938,-0.015089184045791626
310,2,34.0,395.0,-0.06401252746582031,0.01751759648323059
310,3,34.0,395.0,-0.22629038989543915,-0.018492592498660088
310,4,33.0,394.0,0.0220856424421072,0.33098679780960083
310,5,33.0,394.0,-0.7235773801803589,0.17916911840438843
310,6,32.0,393.0,-0.825752854347229,0.21136066317558289
310,7,31.0,393.0,-0.8870540857315063,-0.45495346188545227
310,8,31.0,393.0,-0.8918273448944092,-0.2782324552536011
310,9,30.0,392.0,-0.9651325941085815,0.4744129180908203
310,10,29.0,392.0,-0.07189464569091797,-0.15236705541610718
310,11,29.0,391.0,0.283457487821579,-0.3052619397640228
310,12,28.0,391.0,-1.2627285718917847,-0.20146077871322632
310,13,28.0,391.0,-1.610555648803711,-0.14247512817382812
310,14,27.0,390.0,-1.6826133728027344,-0.28902435302734375
310,15,26.0,390.0,-0.9448375701904297,0.21675236523151398
310,16,26.0,389.0,0.3054758608341217,-0.09243583679199219
310,17,25.0,389.0,-0.2705345153808594,0.15035057067871094
310,18,24.0,388.0,-1.6187313795089722,4.193325042724609
310,19,24.0,388.0,-5.831356048583984,0.1168108806014061
310,20,23.0,388.0,-5.954604625701904,0.016231656074523926
310,21,22.0,387.0,-5.913506507873535,0.02079753950238228
310,22,22.0,387.0,-6.140580177307129,0.15108203887939453
310,23,21.0,386.0,-6.2705078125,0.2935827672481537
310,24,21.0,386.0,-6.501490592956543,0.18883705139160156
310,25,20.0,386.0,-6.519826889038086,0.5725416541099548
313,0,1140.0,391.0,-0.15066194534301758,-0.3002954423427582
